"country","region","infected","deaths","recoveries"
"South Korea","Seoul","334","0","0"
"South Korea","Busan","111","1","0"
"South Korea","Daegu","6442","92","0"
"South Korea","Incheon","41","0","0"
"South Korea","Gwangju","19","0","0"
"South Korea","Daejeon","24","0","0"
"South Korea","Ulsan","36","0","0"
"South Korea","Sejong","42","0","0"
"South Korea","Gyeonggi","366","4","0"
"South Korea","Gangwon","30","1","0"
"South Korea","Chungbuk","38","0","0"
"South Korea","Chungnam","120","0","0"
"South Korea","Jeonbuk","10","0","0"
"South Korea","Jeonnam","6","0","0"
"South Korea","Gyeongbuk","1257","28","0"
"South Korea","Gyeongnam","90","0","0"
"South Korea","Jeju","4","0","0"
"South Korea","Airport Screening","67","0","0"
"China","","81340","3292","74588"
"Taiwan","","252","2","29"
"Philippines","Ilocos Norte","0","0","0"
"Philippines","Oriental Mindoro","0","0","0"
"Philippines","Ilocos Sur","0","0","0"
"Philippines","Caloocan","8","0","0"
"Philippines","Las Piñas","11","0","1"
"Philippines","Makati","20","2","3"
"Philippines","Malabon","0","0","0"
"Philippines","Mandaluyong","22","2","8"
"Philippines","Manila","30","2","1"
"Philippines","Marikina","10","1","0"
"Philippines","Muntinlupa","4","2","0"
"Philippines","Navotas","0","0","0"
"Philippines","Parañaque","8","0","0"
"Philippines","Pasay","7","0","1"
"Philippines","Pasig","26","2","0"
"Philippines","Pateros","0","0","0"
"Philippines","Quezon City","72","10","7"
"Philippines","San Juan","42","4","9"
"Philippines","Taguig","6","0","0"
"Philippines","Valenzuela","2","0","0"
"Philippines","San Jose del Monte","2","0","0"
"Philippines","Cainta","0","1","0"
"Philippines","Bacolod","0","0","0"
"Philippines","Iloilo","0","0","0"
"Philippines","Tagaytay","0","0","0"
"Philippines","Zamboanga del Norte","0","0","0"
"Philippines","Baguio","0","0","0"
"Philippines","Bohol","0","0","1"
"Philippines","Abra","1","0","0"
"Philippines","Apayao","0","0","0"
"Philippines","Benguet","0","0","0"
"Philippines","Ifugao","0","0","0"
"Philippines","Kalinga","0","0","0"
"Philippines","Mountain Province","0","0","0"
"Philippines","La Union","0","0","0"
"Philippines","Pangasinan","0","0","0"
"Philippines","Batanes","0","0","0"
"Philippines","Cagayan","0","0","0"
"Philippines","Isabela","0","0","0"
"Philippines","Nueva Vizcaya","0","0","0"
"Philippines","Quirino","0","0","0"
"Philippines","Aurora","0","0","0"
"Philippines","Bataan","2","0","0"
"Philippines","Bulacan","8","1","0"
"Philippines","Nueva Ecija","2","0","0"
"Philippines","Pampanga","2","1","0"
"Philippines","Tarlac","1","0","0"
"Philippines","Zambales","1","0","0"
"Philippines","Batangas","7","0","0"
"Philippines","Cavite","7","0","0"
"Philippines","Laguna","3","0","0"
"Philippines","Quezon","1","0","0"
"Philippines","Rizal","12","2","0"
"Philippines","Marinduque","0","0","0"
"Philippines","Occidental Mindoro","0","0","0"
"Philippines","Palawan","0","0","0"
"Philippines","Romblon","0","0","0"
"Philippines","Albay","0","0","0"
"Philippines","Camarines Norte","0","0","0"
"Philippines","Camarines Sur","1","0","0"
"Philippines","Catanduanes","0","0","0"
"Philippines","Masbate","0","0","0"
"Philippines","Sorsogon","0","0","0"
"Philippines","Bukidnon","0","0","0"
"Philippines","Davao de Oro","0","0","0"
"India","Andaman and Nicobar Islands","1","0","0"
"India","Andhra Pradesh","10","0","1"
"India","Bihar","5","1","0"
"India","Chandigarh","7","0","0"
"India","Chhattisgarh","6","0","0"
"India","Delhi","29","1","6"
"India","Goa","3","0","0"
"India","Gujarat","40","3","0"
"India","Haryana","19","0","11"
"India","Himachal Pradesh","2","1","0"
"India","Jammu and Kashmir","11","1","1"
"India","Karnataka","50","2","3"
"India","Kerala","112","0","6"
"India","Ladakh","13","0","0"
"India","Madhya Pradesh","19","1","0"
"India","Maharashtra","120","3","1"
"India","Manipur","1","0","0"
"India","Mizoram","1","0","0"
"India","Odisha","2","0","0"
"India","Puducherry","1","0","0"
"India","Punjab","32","1","0"
"India","Rajasthan","38","0","3"
"India","Tamil Nadu","24","1","1"
"India","Telangana","43","0","1"
"India","Uttar Pradesh","30","0","11"
"India","Uttarakhand","5","0","0"
"India","West Bengal","9","1","0"
"Sri Lanka","","106","0","6"
"Myanmar","","3","0","0"
"Laos","","6","0","0"
"Vietnam","Bac Ninh","1","0","0"
"Vietnam","Ben Tre","1","0","0"
"Vietnam","Binh Thuan","9","0","0"
"Vietnam","Can Tho","1","0","0"
"Vietnam","Da Nang","6","0","0"
"Vietnam","Dong Thap","4","0","0"
"Vietnam","Hai Duong","1","0","0"
"Vietnam","Hanoi","52","0","0"
"Vietnam","Ha Tinh","1","0","0"
"Vietnam","Ho Chi Minh City","40","0","3"
"Vietnam","Khanh Hoa","1","0","1"
"Vietnam","Lai Chau","1","0","0"
"Vietnam","Lao Cai","2","0","0"
"Vietnam","Ninh Binh","1","0","1"
"Vietnam","Ninh Thuan","2","0","0"
"Vietnam","Quang Nam","3","0","0"
"Vietnam","Quang Ninh","7","0","0"
"Vietnam","Tay Ninh","2","0","0"
"Vietnam","Thanh Hoa","2","0","1"
"Vietnam","Thua Thien Hue","2","0","0"
"Vietnam","Tra Vinh","3","0","0"
"Vietnam","Vinh Phuc","11","0","11"
"Hong Kong","","453","4","110"
"Macau","","31","0","10"
"Singapore","","683","2","172"
"Indonesia","Aceh","1","0","0"
"Indonesia","Bali","7","0","2"
"Indonesia","Banten","62","1","4"
"Indonesia","Central Java","34","0","6"
"Indonesia","Central Kalimantan","6","0","0"
"Indonesia","Central Sulawesi","1","0","0"
"Indonesia","East Java","53","3","3"
"Indonesia","East Kalimantan","11","0","0"
"Indonesia","Jakarta","444","25","46"
"Indonesia","Jambi","1","0","0"
"Indonesia","Lampung","3","0","0"
"Indonesia","Maluku","1","0","0"
"Indonesia","North Maluku","1","0","0"
"Indonesia","North Sulawesi","2","0","0"
"Indonesia","North Sumatera","7","0","1"
"Indonesia","Papua","7","0","0"
"Indonesia","Riau","2","0","0"
"Indonesia","Riau Islands","4","0","1"
"Indonesia","South Kalimantan","1","0","0"
"Indonesia","South Sulawesi","24","0","3"
"Indonesia","Southeast Sulawesi","3","0","0"
"Indonesia","South Sumatera","1","0","0"
"Indonesia","West Java","62","5","11"
"Indonesia","West Kalimantan","4","0","0"
"Indonesia","West Nusa Tenggara","2","0","0"
"Indonesia","West Sumatra","3","0","0"
"Indonesia","Yogyakarta","13","1","2"
"Malaysia","","2031","23","215"
"Thailand","","1045","4","88"
